tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,body,title_len,body_len,title_clean,body_clean
"['revit-api', 'revit', 'autodesk-forge', 'ifc', 'autodesk-bim360']","{'reputation': 7268, 'user_id': 3274693, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/fb64f2d0ef3999912eb057a9fa248d5f?s=128&d=identicon&r=PG&f=1', 'display_name': 'Thoran', 'link': 'https://stackoverflow.com/users/3274693/thoran'}",True,1615,40493659.0,2,5,2018-10-24 16:12:01,2016-11-08 15:26:39,40490642,CC BY-SA 3.0,https://stackoverflow.com/questions/40490642/is-there-a-cloud-api-to-extract-data-from-a-revit-model,Is there a cloud API to extract data from a Revit model?,"Let's say I want to create a cloud-based service that can connect to a Revit Server and fetch a model data, process it, and return some useful information to a user in a web-based interface. Then the user modifies the model and commits the changes to the server. My app get's a notification with detailed information about what has been modified (diffing is avoided automatically), processes the changes and the cycle continues. In this example, I avoided modifying the model using my app but it could just be the case that the app needs to modify the model. Let me give a hypothetical use case. An architect wants to optimize performance of a design solution. S/he is constantly working on different parts of the model and committing some (most likely minor) changes to the model. Changes are sent to a central BIM 360 server or any other central Revit Server. My app will retrieve modification information from the server and evaluate the performance of the model and give feedback to the architect in a webpage. My app uses Python (sklearn, Tensorflow, etc) running on linux to process the BIM model, so independance from Revit environment and Windows is crucial. To display information to the user, it uses Web technology (e.g d3.js visualization library). provides . All of this (querying and writing BIM) is possible on IFC, however, every conversion means more complexity, data loss (IFC and RVT are not 100% compatible), computation and time. is a simpler form (file format) of this question. Please upvote both questions if you are interested in these APIs. It MIGHT help in getting some attention.",56,2031,cloud api extract data revit model,let say want create cloudbase service connect revit server fetch model datum process return useful information user webbase interface user modifie model commit change server app get notification detailed information modify diffing avoid automatically process change cycle continue example avoid modifying model use app could case app need modify model let give hypothetical use case architect want optimize performance design solution constantly work different part model commit likely minor change model change send central bim   server central revit server app retrieve modification information server evaluate performance model give feedback architect webpage app use python sklearn tensorflow etc run linux process bim model independance revit environment window crucial display information user use web technology eg   visualization library provide query writing bim possible ifc however every conversion mean complexity datum loss ifc rvt   compatible computation time simple form file format question please upvote question interested apis might help get attention
"['c#', 'asp.net-core', 'entity-framework-core', 'asp.net-core-webapi', 'autodesk-forge']","{'reputation': 73, 'user_id': 11311416, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-fY7qGsheKOQ/AAAAAAAAAAI/AAAAAAAAAAc/zqrtdxqS4is/photo.jpg?sz=128', 'display_name': 'Hugo Kamps', 'link': 'https://stackoverflow.com/users/11311416/hugo-kamps'}",True,650,,2,5,2019-04-05 07:17:02,2019-04-04 12:20:44,55515887,CC BY-SA 4.0,https://stackoverflow.com/questions/55515887/how-to-wait-for-another-service-to-finish-a-task-in-the-background-without-await,How to wait for another service to finish a task in the background without awaiting?,"I'm creating an ASP.NET Core WebApi, which uses the Autodesk Model Derivative API to convert a Revit file into another file format. After I've uploaded the file, the Autodesk API starts working in the background and can take several minutes to finish its work. I want to monitor the status of the Autodesk API, to know if the conversion has been finished yet and notify the user. I'm looking for the best way to monitor the status of the job without 'awaiting' and letting the request hang stuck for several minutes. I've tried just running the task asynchronously without awaiting the result. This worked, up to the point where I wanted to update a value in my Database Context, because that had been disposed due to the request having ended. I've also researched several options on implementing background services, but haven't found a clear way to do that.",84,2027,wait another service finish task background without await,create aspnet core webapi use autodesk model derivative api convert revit file another file format I ve upload file autodesk api start work background take several minute finish work want monitor status autodesk api know conversion finish yet notify user look good way monitor status job without await let request hang stick several minute I ve try run task asynchronously without await result work point want update value database context dispose due request end I ve also research several option implement background service have not find clear way
"['autodesk-forge', 'autodesk-viewer']","{'reputation': 594, 'user_id': 4489188, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://lh6.googleusercontent.com/-xNbMe7_xu9w/AAAAAAAAAAI/AAAAAAAAACM/FfNKkG1lJRs/photo.jpg?sz=128', 'display_name': 'Priyank Bhatt', 'link': 'https://stackoverflow.com/users/4489188/priyank-bhatt'}",True,314,37927873.0,1,5,2016-06-20 16:52:15,2016-06-15 07:30:51,37828856,CC BY-SA 3.0,https://stackoverflow.com/questions/37828856/dwg-unable-to-load-with-new-viewer,DWG unable to load with new viewer,Previously I used this viewer script which used to load dwg correctly Now am following this tutorial to setup an initial viewer: Now none of my files are getting loaded on viewer. Viewer just show's animated loader and is not able to load the files. When I changed the viewer from: to: the file gets load in that viewer. And their is no example about how to use Markup API. Could Anyone Please provide an example.,34,1002,dwg unable load new viewer,previously use viewer script use load dwg correctly follow tutorial setup initial viewer none file getting load viewer viewer show animate loader able load file change view file gets load view example use markup api could anyone please provide example
"['autodesk-forge', 'autodesk-model-derivative']","{'reputation': 69, 'user_id': 10070674, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9c04d92443e63158488e79c4f780e66d?s=128&d=identicon&r=PG&f=1', 'display_name': 'user10070674', 'link': 'https://stackoverflow.com/users/10070674/user10070674'}",True,881,51337020.0,1,4,2018-07-14 09:14:29,2018-07-12 13:08:13,51306559,CC BY-SA 4.0,https://stackoverflow.com/questions/51306559/model-derivative-api-post-job-400-bad-request-invalid-design-parameter,Model Derivative API Post Job - 400 Bad Request &quot;Invalid &#39;design&#39; parameter&quot;,"I've uploaded a Revit model to my OSS bucket and trying to translate the file to svf, but I'm getting the following: 400 Bad Request {""diagnostic"":""Invalid 'design' parameter.""} I'm new to the Forge API and not sure where a design parameter is required or where it's referring to, so any guidance would be appreciated.",94,856,model derivative api post job   bad request quotinvalid   parameterquot,I ve upload revit model oss bucket try translate file svf get follow   bad request diagnosticinvalid design parameter new forge api sure design parameter require referring guidance would appreciate
"['autodesk-forge', 'autodesk-viewer', 'autodesk-model-derivative', 'autodesk-bim360']","{'reputation': 43, 'user_id': 11887026, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-eZImWTWuuD0/AAAAAAAAAAI/AAAAAAAARnM/nD43OiioFlI/photo.jpg?sz=128', 'display_name': 'Valentin Noves', 'link': 'https://stackoverflow.com/users/11887026/valentin-noves'}",True,121,65703525.0,1,4,2021-02-10 10:27:22,2021-01-12 19:08:25,65690449,CC BY-SA 4.0,https://stackoverflow.com/questions/65690449/autodesk-forge-viewer-invalid-ogt-header-with-svf2-format,Autodesk Forge Viewer - Invalid OGT header with SVF2 format,"When I migrate my Forge Viewer from SVF to SVF2, some of the geometry is not loaded and I get ""Invalid OGT header"" and ""Failed to parse OGT geometry"" for each element. I'm obtaining the models directly from BIM360. I'm using Nodejs with express and doing a post request to communicate Forge access token with the client I just replaced the SVF viewer options with the ones in the Finally obtain the token from the server Any clue what might be happening here?",59,2622,autodesk forge viewer invalid ogt header   format,migrate forge viewer svf   geometry load get invalid ogt header fail parse ogt geometry element obtaining model directly   use nodejs express post request communicate forge access token client replace svf view option one finally obtain token server clue might happen
"['autodesk-forge', 'revit', 'forge', 'autodesk-model-derivative']","{'reputation': 85, 'user_id': 4277567, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/LasmF.jpg?s=128&g=1', 'display_name': 'Thomas Van Driessche', 'link': 'https://stackoverflow.com/users/4277567/thomas-van-driessche'}",True,264,,3,4,2018-08-08 08:38:10,2018-07-26 14:49:56,51541767,CC BY-SA 4.0,https://stackoverflow.com/questions/51541767/custom-property-identity-data-in-revit-model-got-translated-wrong,Custom property (Identity Data) in Revit model got translated wrong,"We are experiencing troubles when using the model derivative API to translate and extract properties from a Revit Model. As the screenshot implies, we have a custom property under Identity Data. But after translation its under Mark (the property on top of it).
It's a model created in Revit 2018. Is this a bug? kind regards",67,682,custom property identity datum revit model got translate wrong,experience trouble use model derivative api translate extract property revit model screenshot imply custom property identity datum translation mark property top itit model create revit   bug kind regard
"['autodesk-forge', 'autodesk-viewer']","{'reputation': 145, 'user_id': 8534593, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/d687db5cf7e17433d45d6dc715111363?s=128&d=identicon&r=PG&f=1', 'display_name': 'artobii', 'link': 'https://stackoverflow.com/users/8534593/artobii'}",True,1493,,1,4,2017-08-31 03:39:05,2017-08-29 20:35:09,45947925,CC BY-SA 3.0,https://stackoverflow.com/questions/45947925/changing-materials-in-forge,Changing materials in Forge,"We are currently making the client retrieve the object states when the page loads (which will cause the 'pending' objects in the model to turn into different colors). Then we poll for changes to update the coloring (Firstly: pending object gets colored when the viewer loads, and then we keep polling to check and change state again, to make Forge render those in a different color and store their old color/material. When the polling received a change that an object should no longer be colored, it tells Forge to use the old color/material again. The problem: We've found out what the problem is, but we couldn't find out how to fix it.  The problem is that changing materials in Forge doesn't work after startup anymore, it only works in the first ~3 seconds or so (the materials were used to show the colors). However, setting overlays works even after the first ~3 seconds, (showing overlays instead of materials to show the colors). 
This is not what we want to achieve. This looks unoptimized, because overlays will be shown through everything. The materials, however, seem to be 'locked', as in, they cannot be changed anymore after the first ~3 seconds. It seems like they aren't refreshed or something In the examples, we found they used viewer.impl.invalidate(true) to refresh the Forge viewer, but that doesn't do anything after ~3 seconds. We've also tried every combination of viewer.impl.invalidate(true, true, true) as well as setting material.needsUpdate to true, as well as trying to re-render the entire scene. We also found this: , but we couldn't find a good way to do that in Forge, we tried viewer.requestSilentRender() but that didn't do anything either. Anyway, we've tried everything we could come up with and could find online to make the materials work, but nothing made a difference. 
We are looking to find someone that's more experienced with how Forge works that can see what the material code is doing wrong. As for the content, here is all the code you will need to understand what is happening: And here is a small part of the ""index.html"" file that sets the color:",27,2839,change material forge,currently make client retrieve object state page load cause pende object model turn different color poll change update color firstly pende object gets color viewer load keep polling check change state make forge render different color store old colormaterial polling receive change object long color tell forge use old colormaterial problem we ve find problem could not find fix problem change material forge do not work startup anymore work first   second material use show color however set overlay work even first   second show overlay instead material show color want achieve look unoptimized overlay show everything material however seem locked can not change anymore first   second seem like be not refresh something example find use viewerimplinvalidatetrue refresh forge viewer do not anything   second we ve also try every combination viewerimplinvalidatetrue true true well set materialneedsupdate true well try rerender entire scene also find could nt find good way forge try viewerrequestsilentrender do nt anything either anyway we ve try everything could come could find online make material work nothing make difference look find someone that s experience forge work see material code wrong content code need understand happen small part indexhtml file set color
"['javascript', 'autodesk', 'autodesk-forge', 'autodesk-viewer']","{'reputation': 101, 'user_id': 4486153, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-Yg2k9Ev0se8/AAAAAAAAAAI/AAAAAAAABhE/RGJ19VkL10c/photo.jpg?sz=128', 'display_name': 'Nimesh Mishra', 'link': 'https://stackoverflow.com/users/4486153/nimesh-mishra'}",False,127,,0,4,2016-09-05 11:18:29,2016-08-26 12:39:18,39166581,CC BY-SA 3.0,https://stackoverflow.com/questions/39166581/multi-layered-cad-files-mark-up-in-autodesk-viewer,Multi-layered CAD files mark-up in autodesk-viewer,"When I try to draw a mark-up for multi-layered CAD files in , the font size or the thickness of markup tools is much larger than other CAD Files. The mark-up works fine for other CAD files except for multi-layered 3D files. What is the reason behind this? How do I solve this issue?",50,555,multilayere cad file markup autodeskviewer,try draw markup multilayere cad file font size thickness markup tool much large cad file markup work fine cad file except multilayered   file reason behind solve issue
"['java', 'autodesk', 'autodesk-forge', 'autodesk-viewer', 'autodesk-model-derivative']","{'reputation': 263, 'user_id': 6581594, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://lh5.googleusercontent.com/-q6QtsOoWo7A/AAAAAAAAAAI/AAAAAAAAI4A/Q_2WVzyXoj8/photo.jpg?sz=128', 'display_name': 'Greg Bluntzer', 'link': 'https://stackoverflow.com/users/6581594/greg-bluntzer'}",True,1519,38399374.0,1,3,2016-07-15 15:01:16,2016-07-12 22:07:55,38339642,CC BY-SA 3.0,https://stackoverflow.com/questions/38339642/autodesk-forge-failed-to-trigger-translation-for-this-file,autodesk forge &quot;Failed to trigger translation for this file&quot;,"I am trying to use the autodesk forge viewer tutorial I have successfully uploaded and downloaded a dwg file on the step where i convert it to svf it never seems to process and fails with First question do i need to remove the urn: before Base64 encoding.
Second is there any more verbose error result that I can see. Note I have also tried with a rvt file and tried with ""type"":""thumbnail"" nothing seems to work. I feel my Encoded URN is incorrect but I am not sure why it would be.
On the tutorial page they seem to have a much longer and raw urn not sure if I should be appending something else to it before encoding. they have a version and some other number from tutorial
raw 
    ""urn:adsk.a360betadev:fs.file:business.lmvtest.DS5a730QTbf1122d07   51814909a776d191611?version=12"" mine
raw ""urn:adsk.objects:os.object:gregbimbucket/XXX"" EDIT:
This is what i get back from the upload of a dwg file This is what i send to convert the file This is the error I get back EDIT 2: SOLUTION
It looks like the object_id when uploading a file has to have the file extension and not end in a GUI or random set of characters for it to know what file type it is. So that it can be converted.",70,2483,autodesk forge quotfaile trigger translation filequot,try use autodesk forge viewer tutorial successfully upload download dwg file step convert svf never seem process fail first question need remove urn   encodingsecond verbose error result see note also try rvt file try typethumbnail nothing seem work feel encode urn incorrect sure would beon tutorial page seem much long raw urn sure append something else encode version number tutorialraw    mineraw urnadskobjectsosobjectgregbimbucketxxx editthis get back upload dwg file send convert file error get back edit   solutionit look like objectid upload file file extension end gui random set character know file type convert
"['download', 'postman', 'autodesk-forge']","{'reputation': 127, 'user_id': 10651686, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Yjebq.jpg?s=128&g=1', 'display_name': 'Nathan Hurley', 'link': 'https://stackoverflow.com/users/10651686/nathan-hurley'}",True,3586,54464900.0,1,3,2019-01-31 16:59:17,2019-01-31 14:39:21,54462958,CC BY-SA 4.0,https://stackoverflow.com/questions/54462958/download-files-to-a-specific-location-using-postman,Download files to a specific location using Postman,"I have followed the tutorial and have successfully obtained the contents of the file, but where is the file being downloaded. In addition, how do I specify the location of where I want to download the file? Result on Postman",51,633,download file specific location use postman,follow tutorial successfully obtain content file file download addition specify location want download file result postman
